complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,"Matched 'melting' in description: ""Tarmac surface melting at 44°C. Footwear sticking. Park users unsafe.""",
AM-202402,Heat Hazard,Standard,"Matched 'temperature' in description: ""Metal bus shelter reaching dangerous temperatures. Commuters refusing to use.""",
AM-202405,Heat Hazard,Standard,"Matched 'split branches' in description: ""Dead trees with split branches. Fall risk to walkers. 3 trees affected.""",
AM-202406,Heat Hazard,Standard,"Matched 'heat' in description: ""Irrigation system broken. Grass dying in heatwave conditions.""",
AM-202407,Road Damage,Urgent,"Matched 'upturned' in description: ""Broken bench and upturned paving. Child injured last week."" | severity keyword(s) 'child' → Urgent",
AM-202410,Pothole,Standard,"Matched 'pothole' in description: ""Pothole on main highway causing morning rush lane closure.""",
AM-202414,Streetlight,Standard,"Matched 'unlit' in description: ""Residential colony unlit after 9pm. Wiring theft reported.""",
AM-202417,Waste,Standard,"Matched 'waste' in description: ""Night market waste not cleared before morning. Heritage area affected.""",
AM-202421,Noise,Standard,"Matched 'music' in description: ""Club music audible at residential buildings at 2am.""",
AM-202424,Heat Hazard,Standard,"Matched 'bubbling' in description: ""Zoo approach road surface bubbling at 45°C. Visitor complaints.""",
AM-202429,Heat Hazard,Standard,"Matched 'temperature' in description: ""River walk surface temperature unbearable. Installed temperature reads 52°C.""",
AM-202431,Heritage Damage,Standard,"Matched 'ancient' in description: ""Old city road subsidence near ancient step well. Heritage concern.""",
AM-202435,Heat Hazard,Standard,"Matched 'heat' in description: ""Black metal road dividers storing heat. Motorists reporting burns on contact.""",
AM-202444,Waste,Standard,"Matched 'waste' in description: ""Restaurant waste bins overflowing on Sunday night. Health risk.""",
AM-202445,Heat Hazard,Standard,"Matched 'full sun' in description: ""BRT shelter roof glass broken. Users exposed to full sun.""",
