complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"Matched 'pothole' in description: ""Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.""",
PM-202402,Pothole,Urgent,"Matched 'pothole' in description: ""Deep pothole near bus stop. School children at risk during morning hours."" | severity keyword(s) 'child, school' → Urgent",
PM-202406,Flooding,Standard,"Matched 'flooded' in description: ""Underpass flooded knee-deep after 2hrs rain. Commuters stranded.""",
PM-202408,Drain Blockage,Standard,"Matched 'drain blocked' in description: ""Bus stand flooded. Passengers standing in water. Drain blocked.""",
PM-202410,Streetlight,Standard,"Matched 'streetlight' in description: ""Three consecutive streetlights out for 10 days. Area very dark at night.""",
PM-202411,Streetlight,Urgent,"Matched 'streetlight' in description: ""Streetlight flickering and sparking. Electrical hazard reported."" | severity keyword(s) 'hazard' → Urgent",
PM-202413,Waste,Standard,"Matched 'garbage' in description: ""Overflowing garbage bins near vegetable market. Smell affecting shoppers.""",
PM-202418,Noise,Standard,"Matched 'music' in description: ""Wedding venue playing music past midnight on weeknights.""",
PM-202419,Road Damage,Standard,"Matched 'road surface' in description: ""Road surface cracked and sinking near utility work done 1 month ago.""",
PM-202420,Road Damage,Urgent,"Matched 'manhole' in description: ""Manhole cover missing. Risk of serious injury to cyclists."" | severity keyword(s) 'injury' → Urgent",
PM-202427,Flooding,Standard,"Matched 'flood' in description: ""Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.""",
PM-202428,Waste,Standard,"Matched 'dead animal' in description: ""Dead animal not removed for 36 hours. Health concern.""",
PM-202430,Heritage Damage,Standard,"Matched 'heritage street' in description: ""Heritage street, lights out. Safety concern for pedestrians after dark.""",
PM-202433,Waste,Standard,"Matched 'waste' in description: ""Bulk waste from apartment renovation dumped on public road.""",
PM-202446,Road Damage,Urgent,"Matched 'footpath' in description: ""Footpath tiles broken and upturned. Elderly resident fell last week."" | severity keyword(s) 'fell' → Urgent",
