complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,"Matched 'heritage lamp' in description: ""Heritage lamp post knocked over by delivery vehicle. Not restored.""",
KM-202402,Heritage Damage,Standard,"Matched 'historic tram' in description: ""Historic tram road cobblestones broken up by cable laying work.""",
KM-202405,Noise,Standard,"Matched 'band playing' in description: ""Wedding band playing near Tagore Museum at 11pm. Festival season ongoing.""",
KM-202409,Pothole,Standard,"Matched 'pothole' in description: ""Airport access road full of potholes. Diplomatic complaint received.""",
KM-202410,Pothole,Standard,"Matched 'pothole' in description: ""Pothole causing tyre blowouts. Three incidents this week.""",
KM-202411,Pothole,Standard,"Matched 'pothole' in description: ""Deep pothole filling with rainwater. Depth invisible. Accident risk.""",
KM-202415,Drain Blockage,Standard,"Matched 'draining directly onto public road' in description: ""New residential complex draining directly onto public road.""",
KM-202418,Waste,Standard,"Matched 'waste' in description: ""Tourist zone waste overflowing. Foreign visitors photographing piles.""",
KM-202421,Road Damage,Urgent,"Matched 'sinking' in description: ""Footpath broken and sinking. Elderly pedestrian fell. Hospital visit."" | severity keyword(s) 'hospital, fell' → Urgent",
KM-202422,Road Damage,Standard,"Matched 'road surface' in description: ""Road surface buckled near bridge. Structural concern raised.""",
KM-202426,Heritage Damage,Standard,"Matched 'defaced' in description: ""Heritage residential building exterior defaced by billboard installation.""",
KM-202430,Road Damage,Standard,"Matched 'subsided' in description: ""Road subsided near gas pipeline. Gas leak smell reported too.""",
KM-202434,Heritage Damage,Standard,"Matched 'heritage stone' in description: ""Street paving removed for utility work — heritage stone not replaced.""",
KM-202436,Streetlight,Standard,"Matched 'darkness' in description: ""Entire colony substation tripped. Darkness for 3 nights.""",
KM-202438,Noise,Standard,"Matched 'amplifiers' in description: ""Street vendors using amplifiers illegally in heritage precinct.""",
