complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Matched 'flooded' in description: ""Underpass flooded after 1hr rain. Ambulance diverted. Lives at risk."" | severity keyword(s) 'ambulance' → Urgent",
GH-202402,Drain Blockage,Standard,"Matched 'drain completely blocked' in description: ""Market area flooded. Traders suffering losses. Drain completely blocked.""",
GH-202406,Drain Blockage,Standard,"Matched 'drain 100% blocked' in description: ""Main stormwater drain 100% blocked with construction debris.""",
GH-202407,Drain Blockage,Standard,"Matched 'drain blocked' in description: ""Drain blocked and mosquito breeding. Dengue concern.""",
GH-202410,Pothole,Standard,"Matched 'pothole' in description: ""Potholes causing vehicles to slow to 20kmph on fast road.""",
GH-202411,Pothole,Urgent,"Matched 'pothole' in description: ""Pothole swallowed entire motorcycle wheel. Rider hospitalised."" | severity keyword(s) 'hospital' → Urgent",
GH-202412,Pothole,Urgent,"Matched 'pothole' in description: ""School bus struggling to navigate 6 potholes in 200m stretch."" | severity keyword(s) 'school' → Urgent",
GH-202417,Waste,Standard,"Matched 'garbage' in description: ""Heritage zone garbage overflow. Tourist photographs showing piles of waste.""",
GH-202420,Noise,Standard,"Matched 'drilling' in description: ""Construction drilling from 5am daily near residential towers.""",
GH-202422,Road Damage,Urgent,"Matched 'crater' in description: ""Road collapsed partially. Crater 1m deep near residential gate."" | severity keyword(s) 'collapse' → Urgent",
GH-202424,Flooding,Standard,"Matched 'flood' in description: ""Underpass floods in light rain. Cars regularly abandoned.""",
GH-202428,Waste,Standard,"Matched 'waste' in description: ""Post-market waste not cleared. Area unusable by Sunday morning.""",
GH-202432,Noise,Standard,"Matched 'idling' in description: ""24hr supermarket delivery trucks idling with engines on.""",
GH-202448,Drain Blockage,Standard,"Matched 'drain blocked' in description: ""Main drain blocked — entire locality at flooding risk this week.""",
GH-202438,Flooding,Standard,"Matched 'channel rainwater' in description: ""Colony surrounded by fields that channel rainwater through main road.""",
